"game"|"show"|"date"|"comments"|"first"|"last"|"occupation"|"from"|"final"|"coryat"|"right"|"wrong"|"round1"|"round2"|"round3"
1054|3313|1999-01-20|""|"Will"|"Salvini"|"Music Director"|"El Segundo, California"|2001|3600|11|2|1400|2600|2001
1054|3313|1999-01-20|""|"Rich"|"Hendricks"|"Cleaning Company Administrator"|"Amherst, New York"|100|5300|14|2|1400|4600|100
1055|3963|2001-11-21|"Trevor Norris game 3. (Sofia: I'm Sofia of the Clue Crew at the Page Museum and the La Brea Tar Pits. We've got some new fossils for you today on Jeopardy!)"|"Eamon"|"Blake"|"Police Lieutenant"|"New York, New York"|699|7300|22|3|2900|5300|699
1055|3963|2001-11-21|"Trevor Norris game 3. (Sofia: I'm Sofia of the Clue Crew at the Page Museum and the La Brea Tar Pits. We've got some new fossils for you today on Jeopardy!)"|"Jacqui"|"Sukie"|"Worker's Compensation Consultant"|"Akron, Ohio"|800|2100|9|4|300|2100|800
1055|3963|2001-11-21|"Trevor Norris game 3. (Sofia: I'm Sofia of the Clue Crew at the Page Museum and the La Brea Tar Pits. We've got some new fossils for you today on Jeopardy!)"|"Trevor"|"Norris"|"Management Analyst"|"Washington, D.C."|4201|5000|14|6|1400|4600|4201
1056|3964|2001-11-22|"Trevor Norris game 4. (Cheryl: Hi, I'm Cheryl of the Clue Crew. You wouldn't believe where I have sand after taping clues for Jeopardy!--next.)"|"James"|"Kossuth"|"Lexicographer Originally"|"Melrose, Massachusetts"|6400|5400|15|2|3000|5400|6400
1056|3964|2001-11-22|"Trevor Norris game 4. (Cheryl: Hi, I'm Cheryl of the Clue Crew. You wouldn't believe where I have sand after taping clues for Jeopardy!--next.)"|"Linda"|"Lin"|"Computer Consultant And Trainer"|"Bedford, New Hampshire"|5400|6600|17|2|600|7900|5400
1056|3964|2001-11-22|"Trevor Norris game 4. (Cheryl: Hi, I'm Cheryl of the Clue Crew. You wouldn't believe where I have sand after taping clues for Jeopardy!--next.)"|"Trevor"|"Norris"|"Management Analyst"|"Washington, D.C."|15801|10400|23|0|2800|10400|15801
1057|3965|2001-11-23|"Trevor Norris game 5."|"Jake"|"Storms"|"An Actor Originally"|"Sandy, Oregon"|6200|7800|14|1|1200|8000|6200
1057|3965|2001-11-23|"Trevor Norris game 5."|"Betsy"|"Archbold"|"Freelance Writer And Personal Shopper"|"Austin, Texas"|5000|4900|13|0|2100|4900|5000
1057|3965|2001-11-23|"Trevor Norris game 5."|"Trevor"|"Norris"|"Management Analyst"|"Washington, D.C."|16001|10000|27|1|4200|10000|16001
1058|5029|2006-06-22|""|"Theresa"|"Larson"|"Music Director"|"Katy, Texas"|18600|9800|16|2|6000|11200|18600
1058|5029|2006-06-22|""|"Kathy"|"Damstra"|"An Assistant Attorney General"|"Tucson, Arizona"|100|2800|9|2|2800|2800|100
1058|5029|2006-06-22|""|"Clark"|"Floyd"|"An Accountant"|"Savannah, Georgia"|14600|20200|24|6|6600|18600|14600
1059|3314|1999-01-21|""|"Laura"|"Mcshane"|"An Administrator And Outreach Officer"|"Greenbelt, Maryland"|6300|7000|20|3|3500|4300|6300
1059|3314|1999-01-21|""|"Mark"|"Whittinghill"|"Computer Technician And Musician"|"Fayetteville, Arkansas"|17799|8900|18|1|2300|8900|17799
1059|3314|1999-01-21|""|"Debra"|"Bricker"|"Dance Teacher"|"Columbia, South Carolina"|7000|7800|20|1|1800|8000|7000
1060|5030|2006-06-23|""|"John"|"Perez"|"An Air Force Officer Originally"|"Chicago, Illinois"|14000|14200|15|1|4600|14000|14000
1060|5030|2006-06-23|""|"Chris"|"Knight"|"Copywriter"|"Birmingham, Alabama"|20800|9400|17|5|2200|10800|20800
1060|5030|2006-06-23|""|"Theresa"|"Larson"|"Music Director"|"Katy, Texas"|16800|10200|17|2|2800|8400|16800
1061|3315|1999-01-22|""|"Amy"|"Rosenfeld"|"An Environmental Policy Specialist"|"Washington, D.C."|0|7200|18|3|3600|7800|0
1061|3315|1999-01-22|""|"Earl"|"Smith"|"State Fraud Manager"|"Detroit, Michigan"|-1100|-1100|7|5|1100|1100|1100
1061|3315|1999-01-22|""|"Mark"|"Whittinghill"|"Computer Technician And Musician"|"Fayetteville, Arkansas"|5599|9600|23|1|1600|10600|5599
1062|3966|2001-11-26|"Clue dollar values are doubled."|"Harold"|"Skinner"|"Teacher And Playwright"|"Columbia, South Carolina"|7700|8400|17|4|4000|10000|7700
1062|3966|2001-11-26|"Clue dollar values are doubled."|"Geoffrey"|"Zimmerman"|"Lawyer"|"Toronto, Canada"|7600|3400|12|3|5000|3800|7600
1062|3966|2001-11-26|"Clue dollar values are doubled."|"Kristin"|"Lawhead"|"Multimedia Artist"|"New Orleans, Louisiana"|0|5400|15|5|6600|3400|0
1063|3967|2001-11-27|""|"Kris"|"Maccubbin"|"Director Of Communication"|"Kensington, Maryland"|12200|7800|9|0|3400|7800|12200
1063|3967|2001-11-27|""|"Rebekah"|"Lacey"|"An Environmental Scientist"|"Boston, Massachusetts"|20800|18800|21|2|7000|15800|20800
1063|3967|2001-11-27|""|"Harold"|"Skinner"|"Teacher And Playwright"|"Columbia, South Carolina"|0|13400|20|3|5000|13400|0
1064|3968|2001-11-28|"(Cheryl: This is Cheryl from the Jeopardy! Clue Crew, and we're at Sea World, where the entertainers get paid in fish. Anyone got change for a fin?)"|"Trish"|"Miller"|"An Administrative Assistant"|"Boston, Massachusetts"|15000|8000|14|3|4000|8000|15000
1064|3968|2001-11-28|"(Cheryl: This is Cheryl from the Jeopardy! Clue Crew, and we're at Sea World, where the entertainers get paid in fish. Anyone got change for a fin?)"|"Susan"|"Rathke"|"Residential Caregiver"|"Madison, Wisconsin"|23400|15200|20|2|7000|15400|23400
1064|3968|2001-11-28|"(Cheryl: This is Cheryl from the Jeopardy! Clue Crew, and we're at Sea World, where the entertainers get paid in fish. Anyone got change for a fin?)"|"Rebekah"|"Lacey"|"An Environmental Scientist"|"Boston, Massachusetts"|6200|12000|18|3|1200|11200|6200
1065|3969|2001-11-29|"(Sarah: I'm Sarah of the Clue Crew. Today on Jeopardy!, everything's fair game. Stay tuned.)"|"Adam"|"Lipsius"|"Video Professor And Filmmaker"|"New York, New York"|2300|1400|16|5|4600|1400|2300
1065|3969|2001-11-29|"(Sarah: I'm Sarah of the Clue Crew. Today on Jeopardy!, everything's fair game. Stay tuned.)"|"Frank"|"Stasio"|"Data Analyst"|"New York, New York"|30000|12800|18|4|5600|15000|30000
1065|3969|2001-11-29|"(Sarah: I'm Sarah of the Clue Crew. Today on Jeopardy!, everything's fair game. Stay tuned.)"|"Susan"|"Rathke"|"Residential Caregiver"|"Madison, Wisconsin"|13000|17000|15|1|2200|17000|13000
1066|3970|2001-11-30|"(Sofia: Hi, this is Sofia of the Clue Crew. Today, we give you a little taste of New York City.)"|"Charan"|"Brahma"|"An Attorney"|"Los Angeles, California"|500|10600|14|2|3400|12000|500
1066|3970|2001-11-30|"(Sofia: Hi, this is Sofia of the Clue Crew. Today, we give you a little taste of New York City.)"|"Lara"|"Kierlin"|"Pre-Med Student"|"Hermosa Beach, California"|3199|8200|12|2|5200|7600|3199
1066|3970|2001-11-30|"(Sofia: Hi, this is Sofia of the Clue Crew. Today, we give you a little taste of New York City.)"|"Frank"|"Stasio"|"Data Analyst"|"New York, New York"|12000|11600|19|5|800|12000|12000
1067|3316|1999-01-25|""|"Happy"|"Aston"|"Program Assistant"|"La Jolla, California"|1|2800|14|2|2300|2900|1
1067|3316|1999-01-25|""|"Zach"|"Biggs"|"Market Researcher"|"Eugene, Oregon"|9190|4800|14|4|1600|4600|9190
1067|3316|1999-01-25|""|"Mark"|"Whittinghill"|"Computer Technician And Musician"|"Fayetteville, Arkansas"|100|4900|17|3|1700|5700|100
1068|5031|2006-06-26|""|"Mark"|"Edelson"|"Software Developer"|"Toronto, Ontario, Canada"|12600|12800|21|1|7200|12800|12600
1068|5031|2006-06-26|""|"Joan"|"Belen"|"Homemaker"|"Brooklyn, New York"|2|5000|10|3|800|3200|2
1068|5031|2006-06-26|""|"Chris"|"Knight"|"Copywriter"|"Birmingham, Alabama"|100|10600|16|6|4600|5100|100
1069|3317|1999-01-26|""|"Alex"|"Huemer"|"An Economics Instructor"|"Claremont, California"|5050|4200|12|3|2000|6400|5050
1069|3317|1999-01-26|""|"Tonya"|"Duus"|"Radio Traffic Manager"|"Cleveland, Ohio"|2800|2600|14|6|1200|2600|2800
1069|3317|1999-01-26|""|"Zach"|"Biggs"|"Market Researcher"|"Eugene, Oregon"|2599|7800|18|4|1100|7700|2599
1070|2737|1996-06-25|"Karl Coryat game 3."|"Don"|"Sloan"|"Composer And Music Professor"|"Wadsworth, Ohio"|12000|6000|13|0|1600|10000|12000
1070|2737|1996-06-25|"Karl Coryat game 3."|"Rob"|"Mitchell"|"Telecommunications Engineer"|"Aberdeen, New Jersey"|2200|3600|9|1|1600|3600|2200
1070|2737|1996-06-25|"Karl Coryat game 3."|"Karl"|"Coryat"|"Managing Editor"|"Oakland, California"|7900|11100|33|3|4600|14000|7900
1071|5032|2006-06-27|""|"Priya"|"Bhatia Yerasi"|"Physician"|"Corona Del Mar, California"|5200|11200|18|2|3600|11200|5200
1071|5032|2006-06-27|""|"Ryan"|"Mcmillen"|"An English Professor Originally"|"Staten Island, New York"|1400|7400|15|6|1600|3900|1400
1071|5032|2006-06-27|""|"Mark"|"Edelson"|"Software Developer"|"Toronto, Ontario, Canada"|11599|15600|18|1|8400|17000|11599
1072|3971|2001-12-03|"Kathy Cassity game 1."|"Marek"|"Karwowski"|"Trade Consultant"|"Toronto, Canada"|10|6200|12|4|2200|6200|10
1072|3971|2001-12-03|"Kathy Cassity game 1."|"Kathy"|"Cassity"|"Closed Captioner"|"Honolulu, Hawaii"|12400|10800|17|4|4600|7800|12400
1072|3971|2001-12-03|"Kathy Cassity game 1."|"Frank"|"Stasio"|"Data Analyst"|"New York, New York"|0|1200|12|6|0|1200|0
1073|3972|2001-12-04|"Kathy Cassity game 2. (Cheryl: Hi, this is Cheryl of the Clue Crew, and today we'll take you around New York City. Come on, jump in!)"|"Sharon"|"Wilson"|"Certified Legal Assistant"|"Syracuse, New York"|20800|11000|17|5|4800|10800|20800
1073|3972|2001-12-04|"Kathy Cassity game 2. (Cheryl: Hi, this is Cheryl of the Clue Crew, and today we'll take you around New York City. Come on, jump in!)"|"James"|"Martin"|"Bookstore Department Manager"|"Houston, Texas"|4800|2400|13|3|3200|2400|4800
1073|3972|2001-12-04|"Kathy Cassity game 2. (Cheryl: Hi, this is Cheryl of the Clue Crew, and today we'll take you around New York City. Come on, jump in!)"|"Kathy"|"Cassity"|"Closed Captioner"|"Honolulu, Hawaii"|21600|13600|16|1|4800|14000|21600
1074|3973|2001-12-05|"Kathy Cassity game 3."|"Christian"|"Carr"|"Teaching Fellow"|"Sweet Briar, Virginia"|50|6400|12|4|1600|6200|50
1074|3973|2001-12-05|"Kathy Cassity game 3."|"Luke"|"Fontano"|"Stay-At-Home Dad"|"Framingham, Massachusetts"|0|12400|16|1|6400|12400|0
1074|3973|2001-12-05|"Kathy Cassity game 3."|"Kathy"|"Cassity"|"Closed Captioner"|"Honolulu, Hawaii"|2000|15200|20|6|2200|13400|2000
1075|3974|2001-12-06|"Kathy Cassity game 4."|"Mittie"|"Boyer"|"Business Analyst"|"New Orleans, Louisiana"|3700|3400|6|0|1400|3600|3700
1075|3974|2001-12-06|"Kathy Cassity game 4."|"Brian"|"Scheetz"|"Mortgage Banker"|"Arlington, Virginia"|22600|11600|15|3|2800|11600|22600
1075|3974|2001-12-06|"Kathy Cassity game 4."|"Kathy"|"Cassity"|"Closed Captioner"|"Honolulu, Hawaii"|23200|15600|23|4|4400|15600|23200
1076|3975|2001-12-07|"Kathy Cassity game 5. (Cheryl: I'm Cheryl of the Clue Crew. Welcome to clue time at the Apollo, next on Jeopardy!)"|"Bill"|"O'donnell"|"National Park Ranger"|"Eminence, Missouri"|15100|11600|19|2|6400|7600|15100
1076|3975|2001-12-07|"Kathy Cassity game 5. (Cheryl: I'm Cheryl of the Clue Crew. Welcome to clue time at the Apollo, next on Jeopardy!)"|"Jaclyn"|"Whitehorn"|"User Service Consultant"|"Tuscaloosa, Alabama"|12900|6600|9|1|3800|6600|12900
1076|3975|2001-12-07|"Kathy Cassity game 5. (Cheryl: I'm Cheryl of the Clue Crew. Welcome to clue time at the Apollo, next on Jeopardy!)"|"Kathy"|"Cassity"|"Closed Captioner"|"Honolulu, Hawaii"|12400|15400|21|3|3400|13800|12400
1077|3318|1999-01-27|""|"Matt"|"Sullivan"|"Teacher"|"Spokane, Washington"|1199|9600|21|3|2000|9600|1199
1077|3318|1999-01-27|""|"Lisa"|"Mcadam"|"Managing Editor"|"Springfield, Oregon"|4000|8800|22|2|1200|9000|4000
1077|3318|1999-01-27|""|"Alex"|"Huemer"|"An Economics Instructor"|"Claremont, California"|-500|500|7|5|100|500|500
1078|5033|2006-06-28|""|"Sidney"|"Tison"|"Veterinarian"|"Suwanee, Georgia"|13400|7400|17|8|400|6800|13400
1078|5033|2006-06-28|""|"Cait"|"Murphy"|"An Editor Originally"|"Cos Cob, Connecticut"|8400|5800|13|7|200|4400|8400
1078|5033|2006-06-28|""|"Mark"|"Edelson"|"Software Developer"|"Toronto, Ontario, Canada"|2799|8200|14|5|4600|8200|2799
1079|3319|1999-01-28|""|"Patti"|"Compton"|"Homemaker"|"Cottonwood, Arizona"|2399|7400|20|4|2200|8000|2399
1079|3319|1999-01-28|""|"Karl"|"Wallig"|"Property Specialist"|"Salem, Oregon"|6600|6600|16|1|1800|6600|6600
1079|3319|1999-01-28|""|"Lisa"|"Mcadam"|"Managing Editor"|"Springfield, Oregon"|3500|5200|15|1|2900|6500|3500
1080|5034|2006-06-29|""|"Jennifer"|"Casey"|"High School Drama Teacher Originally"|"Sonoma, California"|6600|14200|20|4|5600|11600|6600
1080|5034|2006-06-29|""|"John"|"Hooper"|"An Archaeologist"|"Tempe, Arizona"|1|7000|11|5|1800|7000|1
1080|5034|2006-06-29|""|"Sidney"|"Tison"|"Veterinarian"|"Suwanee, Georgia"|1000|10400|15|3|2000|10400|1000
1081|3320|1999-01-29|""|"Caroline"|"Walsh"|"An Advertising Executive"|"Yorba Linda, California"|1|4700|17|3|1900|4700|1
1081|3320|1999-01-29|""|"Paul"|"Reisser"|"Physician"|"Thousand Oaks, California"|1799|7900|18|4|800|5600|1799
1081|3320|1999-01-29|""|"Karl"|"Wallig"|"Property Specialist"|"Salem, Oregon"|0|2800|14|5|1600|2800|0
1082|5035|2006-06-30|""|"Susannah"|"Jacobson"|"Communications Assistant"|"Madison, Wisconsin"|37201|29200|33|1|10000|29200|37201
1082|5035|2006-06-30|""|"Jeff"|"Knorr"|"Teacher"|"Waterford, New York"|33600|11600|13|0|4400|18600|33600
1082|5035|2006-06-30|""|"Jennifer"|"Casey"|"High School Drama Teacher Originally"|"Sonoma, California"|1|6200|7|1|600|6200|1
1083|3976|2001-12-10|""|"Lani"|"Hyde"|"Horse Trainer"|"Monkton, Maryland"|4300|8400|13|3|0|7400|4300
1083|3976|2001-12-10|""|"Todd"|"Jones"|"Publishing Sales Representative"|"West Nyack, New York"|9100|13800|17|4|2600|12000|9100
1083|3976|2001-12-10|""|"Bill"|"O'donnell"|"National Park Ranger"|"Eminence, Missouri"|13600|13600|18|3|7600|13600|13600
1084|3977|2001-12-11|""|"Mike"|"Rohan"|"An Attorney"|"Orland Park, Illinois"|16700|9200|12|4|1200|8600|16700
1084|3977|2001-12-11|""|"M J"|"J Selle"|"Freelance Writer And Editor"|"Katy, Texas"|17600|8200|18|2|6000|8800|17600
1084|3977|2001-12-11|""|"Bill"|"O'donnell"|"National Park Ranger"|"Eminence, Missouri"|17199|17400|19|0|6200|17400|17199
1085|3978|2001-12-12|""|"Tracy"|"Bond Bird"|"Television And Commercial Announcer"|"Louisville, Kentucky"|23200|12000|17|2|2400|11600|23200
1085|3978|2001-12-12|""|"Christopher"|"Seivard"|"Cinematographer"|"Hershey, Pennsylvania"|20800|12200|14|3|2000|11800|20800
1085|3978|2001-12-12|""|"M J"|"J Selle"|"Freelance Writer And Editor"|"Katy, Texas"|8000|4000|15|6|2400|4000|8000
1086|3979|2001-12-13|"(Jimmy: I'm Jimmy of the Clue Crew at the Porter Valley Country Club, making a splash today on Jeopardy!)"|"Neil"|"Majors"|"Graduate Student"|"Los Angeles, California"|200|5200|8|2|400|3200|200
1086|3979|2001-12-13|"(Jimmy: I'm Jimmy of the Clue Crew at the Porter Valley Country Club, making a splash today on Jeopardy!)"|"Catherine"|"Skeen"|"Graduate Student And Mom"|"Chicago, Illinois"|15400|17400|23|2|6600|15400|15400
1086|3979|2001-12-13|"(Jimmy: I'm Jimmy of the Clue Crew at the Porter Valley Country Club, making a splash today on Jeopardy!)"|"Tracy"|"Bond Bird"|"Television And Commercial Announcer"|"Louisville, Kentucky"|30900|16600|21|5|6400|15600|30900
1087|3980|2001-12-14|"(Sofia: \"Jeopardy! Clue Crew location\"--11 letters.) (Cheryl: New York City!) (Sofia: You got it! Done!)"|"Matt"|"Andrade"|"An Automotive Technician"|"Vancouver, Washington"|2|7000|9|5|2400|2800|2
1087|3980|2001-12-14|"(Sofia: \"Jeopardy! Clue Crew location\"--11 letters.) (Cheryl: New York City!) (Sofia: You got it! Done!)"|"Dana"|"Greenblatt"|"Graduate Student Originally"|"Toledo, Ohio"|15600|15600|21|0|6800|15600|15600
1087|3980|2001-12-14|"(Sofia: \"Jeopardy! Clue Crew location\"--11 letters.) (Cheryl: New York City!) (Sofia: You got it! Done!)"|"Tracy"|"Bond Bird"|"Television And Commercial Announcer"|"Louisville, Kentucky"|5700|5200|14|3|6400|5200|5700
1088|3981|2001-12-17|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum)."|"Christine"|"Martin"|"An Elementary School Teacher"|"Atlanta, Georgia"|18400|9400|14|1|4600|9400|18400
1088|3981|2001-12-17|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum)."|"John"|"Nienow"|"Doctor"|"Santa Ana, California"|400|11000|14|3|1400|10400|400
1088|3981|2001-12-17|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum)."|"Dana"|"Greenblatt"|"Graduate Student Originally"|"Toledo, Ohio"|20801|12600|15|2|2700|10800|20801
1089|3982|2001-12-18|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum)."|"Timothy"|"Mahoney"|"Development Officer Originally"|"Detroit, Michigan"|15000|10000|20|5|6800|10000|15000
1089|3982|2001-12-18|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum)."|"Denese"|"Edsall"|"An Equal Opportunity Manager"|"Hollywood, Florida"|0|4400|9|1|2000|5200|0
1089|3982|2001-12-18|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum)."|"Dana"|"Greenblatt"|"Graduate Student Originally"|"Toledo, Ohio"|3500|7800|15|4|4000|7000|3500
1090|3983|2001-12-19|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum). Performances by the L.A. Spirit Chorale."|"Sarah"|"Cooper"|"An Administrative Assistant"|"Whittier, California"|0|10800|17|4|4000|5800|0
1090|3983|2001-12-19|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum). Performances by the L.A. Spirit Chorale."|"Karim"|"Moore"|"Civil Engineer"|"Laurel, Maryland"|1799|3600|11|5|2000|2000|1799
1090|3983|2001-12-19|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum). Performances by the L.A. Spirit Chorale."|"Timothy"|"Mahoney"|"Development Officer Originally"|"Detroit, Michigan"|801|6000|16|7|4400|6400|801
1091|3984|2001-12-20|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum). Performances by the L.A. Spirit Chorale."|"Bara"|"Blender"|"Publications Consultant Originally"|"Milltown, New Jersey"|1799|11000|14|2|3000|11300|1799
1091|3984|2001-12-20|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum). Performances by the L.A. Spirit Chorale."|"Loyd"|"Gattis"|"Graduate Student Originally"|"Norman, Oklahoma"|5200|10200|15|2|4600|9200|5200
1091|3984|2001-12-20|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum). Performances by the L.A. Spirit Chorale."|"Karim"|"Moore"|"Civil Engineer"|"Laurel, Maryland"|1800|9800|16|3|6000|10400|1800
1092|3985|2001-12-21|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum). Performances by the L.A. Spirit Chorale featuring Cheryl Farrell. No \"Think!\" music played during Final Jeopardy! (Sarah: I'm in the Voodoo Museum in New Orleans, so next week it should be, \"Here's the host of Jeopardy!--Sarah Whitcomb.\")"|"Carly"|"Minner"|"Project Assistant"|"Washington, D.C."|1000|4800|10|3|2400|3000|1000
1092|3985|2001-12-21|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum). Performances by the L.A. Spirit Chorale featuring Cheryl Farrell. No \"Think!\" music played during Final Jeopardy! (Sarah: I'm in the Voodoo Museum in New Orleans, so next week it should be, \"Here's the host of Jeopardy!--Sarah Whitcomb.\")"|"Robert"|"Heiler"|"Director Of A Public Policy Think Tank"|"Alexandria, Virginia"|30900|16800|20|3|3600|17800|30900
1092|3985|2001-12-21|"Champion's winnings matched to the Families of Freedom Scholarship Fund ($10,000 minimum). Performances by the L.A. Spirit Chorale featuring Cheryl Farrell. No \"Think!\" music played during Final Jeopardy! (Sarah: I'm in the Voodoo Museum in New Orleans, so next week it should be, \"Here's the host of Jeopardy!--Sarah Whitcomb.\")"|"Loyd"|"Gattis"|"Graduate Student Originally"|"Norman, Oklahoma"|24800|14400|20|4|4600|15400|24800
1093|3321|1999-02-01|""|"Jenn"|"Reilly"|"Teaching Assistant"|"Lowell, Massachusetts"|-100|1700|10|6|500|100|100
1093|3321|1999-02-01|""|"David"|"Tate"|"An Operations Research Analyst"|"Vienna, Virginia"|13700|7700|21|1|2500|7700|13700
1093|3321|1999-02-01|""|"Paul"|"Reisser"|"Physician"|"Thousand Oaks, California"|6700|5800|16|1|2200|6700|6700
1094|4092|2002-05-21|"Ben Tritle game 4."|"David"|"Burgess"|"Publications Coordinator"|"Kalamazoo, Michigan"|2399|8000|14|5|1800|5000|2399
1094|4092|2002-05-21|"Ben Tritle game 4."|"Gaby"|"Mcnicoll"|"Waitress"|"Atlanta, Georgia"|0|3800|13|8|600|3800|0
1094|4092|2002-05-21|"Ben Tritle game 4."|"Ben"|"Tritle"|"An Apartment Manager"|"Los Angeles, California"|20000|19200|23|1|8000|19200|20000
1095|4093|2002-05-22|"Ben Tritle game 5."|"Robert"|"Vinson"|"Director Of Network Management"|"Charlotte, North Carolina"|6400|3400|7|1|1400|3400|6400
1095|4093|2002-05-22|"Ben Tritle game 5."|"Liz"|"Zoller"|"An Actor And Musician"|"Chicago, Illinois"|6801|9800|10|1|3000|9800|6801
1095|4093|2002-05-22|"Ben Tritle game 5."|"Ben"|"Tritle"|"An Apartment Manager"|"Los Angeles, California"|20000|18600|30|5|6000|20000|20000
1096|4094|2002-05-23|""|"Scott"|"Olsen"|"College Student"|"San Diego, California"|0|1800|7|3|200|1800|0
1096|4094|2002-05-23|""|"Robin"|"Klenke"|"An Internal Auditor"|"San Martin, California"|10000|11400|21|8|3700|15500|10000
1096|4094|2002-05-23|""|"Patrick"|"Kerr"|"Freelance Writer Originally"|"Fort Scott, Kansas"|31400|17400|21|0|6200|17400|31400
1097|4095|2002-05-24|""|"Ron"|"Ostrow"|"An Actor"|"Los Angeles, California"|8001|7600|14|2|3200|7600|8001
1097|4095|2002-05-24|""|"Daniel"|"Mendelsohn"|"Lawyer"|"Santa Monica, California"|24400|25000|26|1|5800|24400|24400
1097|4095|2002-05-24|""|"Patrick"|"Kerr"|"Freelance Writer Originally"|"Fort Scott, Kansas"|7700|5600|11|4|1200|4000|7700
1098|3322|1999-02-02|""|"Matt"|"Smith"|"Graphic Designer"|"Naperville, Illinois"|4000|4400|13|1|2800|4000|4000
1098|3322|1999-02-02|""|"Cheryl"|"Weiss"|"Social Studies Teacher"|"Panama City, Florida"|2999|7800|20|3|1400|8000|2999
1098|3322|1999-02-02|""|"David"|"Tate"|"An Operations Research Analyst"|"Vienna, Virginia"|8000|5300|22|6|3700|6500|8000
1099|5036|2006-07-03|""|"Judy"|"Rudnick"|"Physician"|"Honolulu, Hawaii"|4600|6200|10|3|2600|4600|4600
1099|5036|2006-07-03|""|"Mike"|"Pesca"|"Reporter"|"New York, New York"|3524|11400|20|6|3800|11200|3524
1099|5036|2006-07-03|""|"Susannah"|"Jacobson"|"Communications Assistant"|"Madison, Wisconsin"|18800|9400|18|5|4200|9400|18800
1100|4077|2002-04-30|""|"Ronnie"|"O'rourke"|"Homemaker"|"Marietta, Georgia"|2000|16400|21|1|5600|16400|2000
1100|4077|2002-04-30|""|"Mitchell"|"Morris"|"Professor Of Musicology Originally"|"Currituck County, North Carolina"|400|14200|16|1|7000|15400|400
1100|4077|2002-04-30|""|"Ben"|"Sternberg"|"An Investment Banker"|"San Francisco, California"|0|12400|17|4|3600|10800|0
1101|4089|2002-05-16|"Ben Tritle game 1. First game in which runners-up are awarded cash prizes ($2,000 for 2nd place and $1,000 for 3rd place)."|"Allison"|"Owens"|"Teacher"|"Houston, Texas"|1800|12000|17|4|4000|16800|1800
1101|4089|2002-05-16|"Ben Tritle game 1. First game in which runners-up are awarded cash prizes ($2,000 for 2nd place and $1,000 for 3rd place)."|"Ben"|"Tritle"|"An Apartment Manager"|"Los Angeles, California"|6600|4600|8|4|600|4600|6600
1101|4089|2002-05-16|"Ben Tritle game 1. First game in which runners-up are awarded cash prizes ($2,000 for 2nd place and $1,000 for 3rd place)."|"Ronnie"|"O'rourke"|"Homemaker"|"Marietta, Georgia"|6200|19600|28|2|8500|19900|6200
1102|4090|2002-05-17|"Ben Tritle game 2."|"Trey"|"Morris"|"Medical Student"|"Lubbock, Texas"|7201|7800|19|6|4400|7200|7201
1102|4090|2002-05-17|"Ben Tritle game 2."|"Melanie"|"Evans"|"Librarian"|"Boston, Massachusetts"|25500|13000|17|2|6200|13000|25500
1102|4090|2002-05-17|"Ben Tritle game 2."|"Ben"|"Tritle"|"An Apartment Manager"|"Los Angeles, California"|26001|15600|20|2|4400|15000|26001
1103|4091|2002-05-20|"Ben Tritle game 3. (Sofia: Wish us bon voyage! The Jeopardy! Clue Crew is off on a cruise--coming up next.)"|"Andrew"|"Marshall"|"Computer Specialist"|"Toronto, Canada"|0|4400|6|2|1000|3800|0
1103|4091|2002-05-20|"Ben Tritle game 3. (Sofia: Wish us bon voyage! The Jeopardy! Clue Crew is off on a cruise--coming up next.)"|"Julie"|"Marcus"|"Federal Appellate Attorney"|"Arlington, Virginia"|4799|7800|14|4|1800|7800|4799
1103|4091|2002-05-20|"Ben Tritle game 3. (Sofia: Wish us bon voyage! The Jeopardy! Clue Crew is off on a cruise--coming up next.)"|"Ben"|"Tritle"|"An Apartment Manager"|"Los Angeles, California"|5999|16200|26|4|5800|10800|5999
1104|3323|1999-02-03|""|"Josh"|"Flosi"|"Teacher"|"Danville, California"|15001|5400|17|3|2200|8000|15001
1104|3323|1999-02-03|""|"Pat"|"Martin"|"Library Technician"|"Vista, California"|3799|2400|18|4|2500|1900|3799
1104|3323|1999-02-03|""|"David"|"Tate"|"An Operations Research Analyst"|"Vienna, Virginia"|10000|7500|18|1|2900|7500|10000
1105|3324|1999-02-04|""|"Yen"|"Bawagan"|"Research Scientist"|"Wayne, Pennsylvania"|6799|7100|22|3|2900|7100|6799
